제목,기사미리보기,카테고리,기자,날짜	
"[단독] 방역수칙 지적에…'먹던 음식' 간장통에 넣고 간 손님","[앵커]이렇게 전국이 코로나로 난리인데| 이런 사람이 있었습니다. 식당 주인이 방역 수칙 때문에 이제 그만 나가달라고 하자| 한 손님이 자기가 먹던 음식을 다같이 먹는 간장통에 몰래 넣었습니다.김태형 기자입...","사회","김태형 기자",2021-07-17 19:04:00
"'NC 술자리 동석' 두 여성| 6월 말부터 호텔 장기투숙","[앵커]일부 프로야구 선수들이 방역수칙 어기고 원정 숙소인 호텔에서 여성들과 술판을 벌이다 확진됐죠. 그 파장이 커지고 있습니다. 이 여성들이 이미 지난달 말부터 이 호텔에 숙박해온 것으로 확인돼 지금까지 ...","사회","강현석 기자",2021-07-17 18:49:00
"관악구 사우나 74명 집단감염…일상 곳곳 '침투'","[앵커]서울에선 관악구의 한 사우나에서 시작된 집단감염이 심상치 않습니다. 엿새만인 오늘(17일) 오후| 확진자가 74명까지 늘어났습니다. 대전의 한 병원에선 백신 맞고도 감염되는 '돌파 감염' 환자가 계속 나오...","사회","김민 기자",2021-07-17 18:41:00
"심상찮은 청해부대…50명 간이검사서 '49명 양성'","[앵커]코로나19 소식으로 이어가겠습니다. 먼저 아덴만에서 작전을 수행 중인 청해부대 소식입니다. 이 함정 안 상황이 심상치 않습니다. 오늘(17일) 추가로 50명을 간이검사했는데 딱 1명만 빼고 49명이 양성이 나...","정치","구혜진 기자",2021-07-17 18:39:00
"[백브리핑] 의원들 법카는 맛집 찾아다니는 미식활동비?","뉴스 스토리텔러 백브리핑 시작합니다.첫 번째 키워드 < 구)판공비 현)업무추진비 >옛날 말로는 판공비| 요새 말로는 업무추진비.요즘은 대부분 법카로 쓰는 돈 얘깁니다.근데 이거 쓰는 의원님들| 공무원들 쌈짓돈...","정치","박진규 기자",2021-07-18 19:39:00
"[날씨] 19일도 찜통더위…남부 등은 오후까지 소나기","월요일인 19일도 전국이 무덥겠습니다.아침 최저 기온은 22∼25도| 낮 최고 기온은 27∼33도로| 일부 지역에 내려진 폭염특보가 확대될 것으로 보입니다.남부지방 등에는 오후까지 소나기가 내리겠습니다.예...","날씨","조민중 기자",2021-07-18 19:34:00
""집밥이 힘이 됐다"…김광현| 21이닝째 실점 없이 5승","[앵커]메이저리그 세인트루이스에서 뛰고 있는 투수 김광현이 오늘(18일)도 무실점으로 5승을 기록했습니다. 벌써 21이닝 째 점수를 내주지 않고 있습니다. 특히 오늘 경기에는 그동안 떨어져 있던 가족들이 처음으...","스포츠","서준석 기자",2021-07-18 19:23:00
"눈앞에서 납치된 아들…엄마가 차에 달려들어 구해｜뉴스브리핑","1. 눈앞에서 납치된 아들…엄마가 차에 달려들어 구해차에서 내린 한 남성이 갑자기 길을 걷던 어린 아이를 안아 들고 달립니다. 아이를 차에 태워 도망가려는데| 엄마와 다른 가족들이 곧바로 차에 달려들어...","국제","한민용 기자",2021-07-18 19:19:00
"칸영화제 시작부터 끝까지| 한국 영화인이 빛냈다","[앵커]코로나19로 2년 만에 열린 전 세계 영화인의 축제. 칸 영화제가 막을 내렸습니다. 경쟁 부문에 초청받은 한국 영화는 없없지만| 한국 영화의 위상이 줄었다 말하긴 어려울 것 같습니다. 영화제 시작부터 심사...","문화","박병현 기자",2021-07-18 19:18:00
"유승민 IOC 위원 확진 판정…선수촌에서도 2명 감염","[앵커]도쿄올림픽 선수촌에서 처음으로 선수 감염자가 나왔습니다. 선수 두 명이 처음으로 확진 판정을 받은 건데 선수촌 방역이 뚫린 거 아니냔 우려가 커지고 있습니다. 어제(17일) 우리나라에서 출발해 일본에 ...","스포츠","김서연 기자",2021-07-18 19:06:00
